,Title,doi,Type,Categorie,Paper informations,Mail,Final informations,Code source,Script,Share,Comment,Link
,Ambient backscatter: wireless communication out of thin air,10.1145/2486001.2486015,Paper,Hardware,Hardware,,,,,,,
,Dude where's my card?: RFID positioning that works with multipath and non-line of sight,10.1145/2486001.2486029,Paper,Design/Implementation,Partial,Send,,,,,,
,Dhwani: secure peer-to-peer acoustic NFC,10.1145/2486001.2486037,Paper,Design/Implementation,Partial,Send,,,,,,
,See through walls with WiFi!,10.1145/2486001.2486039,Paper,Design/Implementation,Partial,Send,,,,,,
,In-network caching assisted wireless AP storage management: challenges and algorithms,10.1145/2486001.2491706,Poster,Algorithm,Self contains,,,,,,,
,CSPAN: cost-effective geo-replicated storage spanning multiple cloud services,10.1145/2486001.2491707,Poster,Design,Self contains,,,,,,,
,Replication free rule grouping for packet classification,10.1145/2486001.2491709,Poster,Algorithm,Self contains,,,,,,,
,A (not) NICE way to verify the openflow switch specification: formal modelling of the openflow switch using alloy,10.1145/2486001.2491711,Poster,Design,Self contains,,,,,,,
,The contagion of malicious behaviors in online games,10.1145/2486001.2491712,Poster,Measurement,Partial,Send,,,,,,
,An empirical study of analog channel feedback,10.1145/2486001.2486018,Poster,Measurement,Partial,Send,,,,,,
,Toward content-centric privacy in ICN: attribute-based encryption and routing,10.1145/2486001.2491717,Poster,Design,Self contains,,,,,,,
,Don't drop detour!,10.1145/2486001.2491718,Poster,Measurement,Partial,Send,,,,,,
,Using DAIM as a reactive interpreter for openflow networks to enable autonomic functionality,10.1145/2486001.2491721,Poster,Design,Self contains,,,,,,,
,M2cloud: software defined multi-site data center network control framework for multi-tenant,10.1145/2486001.2491725,Poster,Design,Partial,Send,,,,,,
,To 4000 compute nodes and beyond: network-aware vertex placement in large-scale graph processing systems,10.1145/2486001.2491726,Poster,Design,Self contains,,,,,,,
,Collaborative caching based on hash-routing for information-centric networking,10.1145/2486001.2491727,Poster,Design,Partial,Send,,,,,,
,Greedy forwarding for mobile social networks embedded in hyperbolic spaces,10.1145/2486001.2491728,Poster,Design,Partial,Send,,,,,,
,OpenRAN: a software-defined ran architecture via virtualization,10.1145/2486001.2491732,Poster,Design,Self contains,,,,,,,
,Supporting application-specific in-network processing in data centres,10.1145/2486001.2491733,Poster,Design,Self contains,,,,,,,
,Design and implementation of a framework for software-defined middlebox networking,10.1145/2486001.2491686,Poster,Design,Self contains,,,,,,,
,Whole-home gesture recognition using wireless signals (demo),10.1145/2486001.2491687,Poster,Design,Self contains,,,,,,,
,Locating using prior information: wireless indoor localization algorithm,10.1145/2486001.2491688,Poster,Design,Partial,Response,Irreproductible,Private,Private,,,https://www.youtube.com/watch?v=ir2KsIoeHMg
,Automated configuration and measurement of emulated networks with AutoNetkit,10.1145/2486001.2491692,Poster,Management ,Self contains,,,,,,,
,Security risks evaluation toolbox for smart grid devices,10.1145/2486001.2491693,Poster,Design,Self contains,,,,,,,
,Qphone: a quantum security VoIP phone,10.1145/2486001.2491696,Poster,Hardware,Hardware,,,,,,,
,A large-scale multipath playground for experimenters and early adopters,10.1145/2486001.2491698,Poster,Design,Complet,,Complet,Public,Public,Github,,http://github.com/nemethf/sigcomm2013
,Application-awareness in SDN,10.1145/2486001.2491700,Poster,Design,Partial,Send,,,,,,
,HomeLab: a platform for conducting experiments with connected devices in the home,10.1145/2486001.2491701,Poster,Tools,Self contains,,,,,,,
,OMware: an open measurement ware for stable residential broadband measurement,10.1145/2486001.2491702,Poster,Tools,Partial,Response,Irreproductible,Private,Private,,Privacy but omware is updated in kTRxer which will be open source,
,Cloud3DView: an interactive tool for cloud data center operations,10.1145/2486001.2491704,Poster,Implementation,Partial,Send,,,,,,
,Maple: simplifying SDN programming using algorithmic policies,10.1145/2486001.2486030,Paper,Design,Partial,Send,,,,,,
,Forwarding metamorphosis: fast programmable match-action processing in hardware for SDN,10.1145/2486001.2486011,Paper,Hardware,Hardware,,,,,,,
,Compressing IP forwarding tables: towards entropy bounds and beyond,10.1145/2486001.2486009,Paper,Design,Self contains,,,,,,,
,TCP ex machina: computer-generated congestion control,10.1145/2486001.2486020,Paper,Implementation/Measurement,Partial,Response,Complet,Public,Public,Website,Really nice repository,http://web.mit.edu/remy/
,FCP: a flexible transport framework for accommodating diversity,10.1145/2486001.2486004,Paper,Management ,Partial,Response,Irreproductible,Public,No available,,,http://ina.kaist.ac.kr/~dongsuh/paper/fcp-ns2-all.tar.gz
,Less pain most of the gain: incrementally deployable ICN,10.1145/2486001.2486023,Paper,Measurement,Partial,Response,Partial,Public,No available,,URL website down due to old apache,https://github.com/JRBANCEL/Chromagnon
,,,,,,,,,,,,http://www.idicn.org/
,Reducing web latency: the virtue of gentle aggression,10.1145/2486001.2486014,Paper,Measurement,Partial,Send,,,,,,
,BGP security in partial deployment: is the juice worth the squeeze?,10.1145/2486001.2486010,Paper,Security,Self contains,,,,,,,
,PoiRoot: investigating the root cause of interdomain path changes,10.1145/2486001.2486036,Paper,Implementation,Partial,Send,,,,,,
,Verifiable auctions for online ad exchanges,10.1145/2486001.2486038,Paper,Measurement,Partial,Response,Complet,Public,Public,Github,Nice step by step README,https://github.com/sga001/vex/
,,,,,,,,,,,Sebs : vexvmpassword,https://drive.google.com/file/d/0B4S_kXaUiXdVRFEwaVh4UDh0NWs/view?usp=sharing
,Ananta: cloud scale load balancing,10.1145/2486001.2486026,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Speeding up distributed request-response workflows,10.1145/2486001.2486028,Paper,Design/Measurement,Partial,Response,Irreproductible,Private,Private,,,
,Leveraging endpoint flexibility in data-intensive clusters,10.1145/2486001.2486021,Paper,Design,Partial,Response,Complet,Public,Public,,,https://github.com/mosharaf/sinbad
,Characterizing correlated latency anomalies in broadband access networks,10.1145/2486001.2491734,Poster,Tools,Self contains,,,,,,,
,Towards fast regular expression matching in practice,10.1145/2486001.2491705,Poster,Implementation/Measurement,Partial,Send,,,,,,
,Exponential quantization: user-centric rate control for skype calls,10.1145/2486001.2491708,Poster,Measurement,Partial,Response,Irreproductible,Private,Private,,,
,Which flows are hiding behind my wildcard rule?: adding packet sampling to openflow,10.1145/2486001.2491710,Poster,Design,Self contains,,,,,,,
,Cooperation policies for efficient in-network caching,10.1145/2486001.2491713,Poster,Management ,Partial,Response,,Private but can share,,,Not public but can have tar,
,Smart in-network deduplication for storage-aware SDN,10.1145/2486001.2491714,Poster,Design,Partial,Response,Irreproductible,Not available,Not available,,,
,A software defined approach to unified IPv6 transition,10.1145/2486001.2491715,Poster,Design,Self contains,,,,,,,
,Characterizing and detecting malicious crowdsourcing,10.1145/2486001.2491719,Poster,Measurement,Partial,Send,,,,,,
,Harnessing receive diversity in distributed multi-user MIMO networks,10.1145/2486001.2491720,Poster,Design,Self contains,,,,,,,
,Topology-aware content-centric networking,10.1145/2486001.2491729,Poster,Design,Self contains,,,,,,,
,Making intra-domain traffic engineering resistant to failures,10.1145/2486001.2491730,Poster,Design,Self contains,,,,,,,
,The effectiveness of time dependent pricing in controlling usage incentives in wireless data network,10.1145/2486001.2491731,Poster,Design,Self contains,,,,,,,
,R2D2: bufferless switchless data center networks using commodity ethernet hardware,10.1145/2486001.2491722,Poster,Design,Self contains,,,,,,,
,Interest set mechanism to improve the transport of named data networking,10.1145/2486001.2491723,Poster,Design,Partial,Response,Irreproductible,No available,No found,Cannot found the script,Not keep/maintain the script,
,The architecture and traffic management of wireless collaborated hybrid data center network,10.1145/2486001.2491724,Poster,Design,Self contains,,,,,,,
,D-tunes: self tuning datastores for geo-distributed interactive applications,10.1145/2486001.2491684,Poster,Design,Self contains,,,,,,,
,On HTTP live streaming in large enterprises,10.1145/2486001.2491685,Poster,Design,Complet,,,,,,Privacy,http://www.peerialism.com/
,An evaluation testbed for adaptive topology-aware deployment of elastic applications,10.1145/2486001.2491689,Poster,Design,Self contains,,,,,,,
,AutoEmbed: automated multi-provider virtual network embedding,10.1145/2486001.2491690,Poster,Design,Self contains,,,,,,,
,Contextualized information-centric home network,10.1145/2486001.2491691,Poster,Design,Self contains,,,,,,,
,Incremental SDN deployment in enterprise networks,10.1145/2486001.2491694,Poster,Design,Self contains,,,,,,,
,Automatic configuration of routing control platforms in OpenFlow networks,10.1145/2486001.2491695,Poster,Design,Partial,Response,Partial,Public,Private,,https://github.com/routeflow/AutomaticConfigurationRouteFlow,
,Dispatch: secure resilient mobile reporting,10.1145/2486001.2491697,Poster,Design,Self contains,,,,,,,
,Named data networking on a router: forwarding at 20gbps and beyond,10.1145/2486001.2491699,Poster,Design,Partial,Response,Irreproductible,No available,No available,,Developed on target system and no more available,
,Seamless interworking of SDN and IP,10.1145/2486001.2491703,Poster,Design,Self contains,,,,,,,
,A provider-side view of web search response time,10.1145/2486001.2486035,Paper,Measurement,Partial,Response,Irreproductible,Private,Private,,Using libraries use in production,
,Trinocular: understanding internet reliability through adaptive probing,10.1145/2486001.2486017,Paper,Measurement,Url fail,Response,Irreproductible,Private,,,Some URL fail,ftp://ftp.isi.edu/isi-pubs/tr-678.pdf
,,,,,,,,,,,datasetﾠ:,https://ant.isi.edu/datasets/internet_outages/
,An empirical reexamination of global DNS behavior,10.1145/2486001.2491716,Paper,Measurement,Partial,Send,,,,,,
,Mosaic: quantifying privacy leakage in mobile networks,10.1145/2486001.2486008,Paper,Design,Partial,Send,,,,,,
,Expressive privacy control with pseudonyms,10.1145/2486001.2486032,Paper,Design,Partial,Response,Partial,Public,No maintained,Github,,https://github.com/UWNetworksLab/pseudonyms
,Towards efficient traffic-analysis resistant anonymity networks,10.1145/2486001.2486002,Paper,Design,Partial,Send,,,,,,
,SplitX: high-performance private analytics,10.1145/2486001.2486013,Paper,Design,Partial,Response,Partial,Public,No available,,,https://gitlab.com/ruichuan/SplitX.git
,Participatory networking: an API for application control of SDNs,10.1145/2486001.2486003,Paper,Design,Partial,Response,Complet,Public,Public,Website,,pane.cs.brown.edu
,Developing a predictive model of quality of experience for internet video,10.1145/2486001.2486025,Paper,Design,Self contains,,,,,,,
,ElasticSwitch: practical work-conserving bandwidth guarantees for cloud computing,10.1145/2486001.2486027,Paper,Design,Partial,???,,,,,,
,An in-depth study of LTE: effect of network protocol and application behavior on performance,10.1145/2486001.2486006,Paper,Design,Partial,Send,,,,,,
,Full duplex radios,10.1145/2486001.2486033,Paper,Hardware,Hardware,,,,,,,
,Bringing cross-layer MIMO to today's wireless LANs,10.1145/2486001.2486034,Paper,Design,Self contains,,,,,,,
,BigStation: enabling scalable real-time signal processingin large mu-mimo systems,10.1145/2486001.2486016,Paper,Design,Partial,Response,Partial,Public,No available,Website,, https://sora.codeplex.com/
,zUpdate: updating data center networks with zero loss,10.1145/2486001.2486005,Paper,Design,Partial,Send,,,,,,
,Got loss? Get zOVN!,10.1145/2486001.2486024,Paper,Design,Partial,Send,,,,,,
,pFabric: minimal near-optimal datacenter transport,10.1145/2486001.2486031,Paper,Design,Partial,Send,,,,,,
,Integrating microsecond circuit switching into the data center,10.1145/2486001.2486007,Paper,Design,Self contains,,,,,,,
,,,,,,,,,,,,
CoNEXT-2014,Analyzing and Boosting the Performance of Power-Line Communication Networks,10.1145/2674005.2675016,Paper,Measurement,Partial,Repsonse,Complet,No need,Public,,,http://infoscience.epfl.ch/record/205770/files/experimental_framework.pdf?version=1
,Filtering Noisy 802.11 Time-of-Flight Ranging Measurements,10.1145/2674005.2674998,Paper,Measurement,Partial,Send,,,,,,
,Communication Networks of Visible Light Emitting Diodes with Intra-Frame Bidirectional Transmission,10.1145/2674005.2675000,Paper,Design,Partial,Response,Work in progress,Private,Private,,Plan to make it open source in future,
,MIDAS: Empowering 802.11ac Networks with Multiple-Input Distributed Antenna Systems,10.1145/2674005.2675014,Paper,Design,Partial,Send,,,,,,
,MoFA: Mobility-aware Frame Aggregation in Wi-Fi,10.1145/2674005.2674995,Paper,Design,Partial,Send,,,,,,
,Bringing Mobility-Awareness to WLANs using PHY Layer Information,10.1145/2674005.2675017,Paper,Design,Partial,Send,,,,,,
,Measurement-Augmented Spectrum Databases for White Space Spectrum,10.1145/2674005.2675001,Paper,Measurement,Partial,Send,,,,,,
,Cuckoo Filter: Practically Better Than Bloom,10.1145/2674005.2674994,Paper,Design,No script,Send,,,,,,https://github.com/efficient/cuckoofilter
,Sprinklers: A Randomized Variable-Size Striping Approach to Reordering-Free Load-Balanced Switching,10.1145/2674005.2674986,Paper,Design,Partial,Send,,,,,,https://github.com/shager/hitables.
,Trees in the List: Accelerating List-based Packet Classification Through Controlled Rule Set Expansion,10.1145/2674005.2675005,Paper,Implementation,Complet,,Complet,Public,Public,Github,No README,
,Multi-Layer Packet Classification with Graphics Processing Units,10.1145/2674005.2674990,Paper,Design,Partial,Send,,,,,,
,From Cells to Streets: Estimating Mobile Paths with Cellular-Side Data,10.1145/2674005.2674982,Paper,Design,Partial,Send,,,,,,
,"The Cost of the ""S"" in HTTPS",10.1145/2674005.2674991,Paper,Measurement,Partial,Response,Partial,Public,Private,Github,,https://github.com/dtnaylor/web-profiler
,,,,,,,,,,,,https://github.com/dtnaylor/android-web-probe
,A Tangled Mass: The Android Root Certificate Stores,10.1145/2674005.2675015,Paper,Measurement,Self contains,,,,,,,
,FlowBender: Flow-level Adaptive Routing for Improved Latency and Throughput in Datacenter Networks,10.1145/2674005.2674985,Paper,Design,Partial,Response,Irreproductible,Private,Private,,,
,Distributed Route Aggregation on the Global Network,10.1145/2674005.2674999,Paper,Design/Implementation,Partial,Response,Complet,Public,Public,Website,http://www.route-aggregation.net/,
,COLD: PoP-level Network Topology Synthesis,10.1145/2674005.2675012,Paper,Design/Implementation,Partial,Send,,,,,,
,Remote Peering: More Peering without Internet Flattening,10.1145/2674005.2675013,Paper,Mathematical/Measurement,Partial,Repsonse,Partial,No need,API changed,,LG's website change so the script is no more valid,
,"Tango: Simplifying SDN Control with Automatic Switch Property Inference, Abstraction and optimization",10.1145/2674005.2675011,Paper,Implementation,Partial,Send,,,,,,
,Merlin: A Language for Provisioning Network Resources,10.1145/2674005.2674989,Paper,Implementation,Partial,Response,Partial,Public,Partial,Github,,https://github.com/merlin-lang/merlin
,Controller-agnostic SDN Debugging,10.1145/2674005.2674993,Paper,Implementation,Partial,Response,Work in progress,Private,Private,,Look forward to making it open source,
,On the Fairness-Efficiency Tradeoff for Packet Processing with Multiple Resources,10.1145/2674005.2675010,Paper,Design,Partial,Send,,,,,,
,NetAgg: Using Middleboxes for Application-specific On-path Aggregation in Data Centres,10.1145/2674005.2674996,Paper,Design,Partial,Send,,,,,,
,MSPlayer: Multi-Source and multi-Path LeverAged YoutubER,10.1145/2674005.2675007,Paper,Design,Partial,Send,,,,,,
,Deep Packet Inspection as a Service,10.1145/2674005.2674984,Paper,Design,Partial,Send,,,,,,
,Subsidization Competition: Vitalizing the Neutral Internet,10.1145/2674005.2674987,Paper,Design,Self contains,,,,,,,
,Pricing The Last Mile: Data Capping For Residential Broadband,10.1145/2674005.2675008,Paper,Design,Partial,Send,,,,,,
,Collaborative Consumption for Mobile Broadband: A Quantitative Study,10.1145/2674005.2674997,Paper,Study,Self contains,,,,,,,
,User Behavior and Change: File-sharers and Copyright Laws,10.1145/2674005.2675009,Paper,Measurement,Partial,Send,,,,,,
,PARCEL: Proxy Assisted BRowsing in Cellular networks for Energy and Latency reduction,10.1145/2674005.2675004,Paper,Design,Partial,Send,,,,,,
,Using Cooperation for Low Power Low Latency Cellular Connectivity,10.1145/2674005.2674983,Paper,Design,Partial,Send,,,,,,
,Managing Redundant Content in Bandwidth Constrained Wireless Networks,10.1145/2674005.2674988,Paper,Design,Partial,Response,Work in progress,In release,No available,,,
,Trace-Driven Analysis of ICN Caching Algorithms on Video-on-Demand Workloads,10.1145/2674005.2675003,Paper,Design,No script,Send,,,,,,http://fi.ict.ac.cn/firg.php?n=Member.Source
,SoftMoW: Recursive and Reconfigurable Cellular WAN Architecture,10.1145/2674005.2674981,Paper,Design,Partial,Response,Work in progress,Private,Private,,Not yet ready for public release,
,Democratic Resolution of Resource Conflicts Between SDN Control Programs,10.1145/2674005.2674992,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Scotch: Elastically Scaling up SDN Control-Plane using vSwitch based Overlay,10.1145/2674005.2675002,Paper,Design/Implementation,Partial,Send,,,,,,
,Providing Reliable FIB Update Acknowledgments in SDN,10.1145/2674005.2675006,Paper,Design,Partial,Response,Work in progress,Private,Private,,Will prepare a release by monday,
,,,,,,,,,,,,
CoNEXT-2013,Crowd-assisted search for price discrimination in e-commerce: first results,10.1145/2535372.2535415,,Measurement,No script,Send,,,,,,
,A first look at IPv4 transfer markets,10.1145/2535372.2535416,,Study,Self contains,,,,,,,
,"Optimizing the ""one big switch"" abstraction in software-defined networks",10.1145/2535372.2535373,,Implementation,Partial,Response,Partial,Public,No available,,,http://www.cs.princeton.edu/~nkang/research/
,An adaptive flow counting method for anomaly detection in SDN,10.1145/2535372.2535411,,Design,Partial,Send,,,,,,
,Virtualizing the access network via open APIs,10.1145/2535372.2535381,,Design,Partial,Send,,,,,,
,Distributed resource control using shadowed subgraphs,10.1145/2535372.2535410,,Design,Self contains,,,,,,,
,"Per-packet load-balanced,  low-latency routing for clos-based data center networks",10.1145/2535372.2535375,,Design/Implementation,Partial,Response,Partial,Private,Private,,Can give me a read access on his bitbucket,
,Scaling IP multicast on datacenter topologies,10.1145/2535372.2535380,,Design,Partial,Response,Irreproductible,Private,Not documented,,,
,Explicit multipath congestion control for data center networks,10.1145/2535372.2535384,,Design/Implementation,Partial,Response,,,,,,http://routing.netlab.edu.cn/tiki-index.php?page=Yu+Cao
,"Aspen trees: balancing data center fault tolerance,  scalability and cost",10.1145/2535372.2535383,,Design,Partial,Send,,,,,,
,"Scalable,  high performance ethernet forwarding with CuckooSwitch",10.1145/2535372.2535379,,Design,Partial,Send,,,,,,
,Scheduling packets over multiple interfaces while respecting user preferences,10.1145/2535372.2535387,,Design,Partial,Send,,,,,,
,On limitations of network acceleration,10.1145/2535372.2535412,,Measurement,Partial,Wait,,,,,,
,Now or later?: delaying data transfer in time-critical aerial communication,10.1145/2535372.2535409,,,,???,,,,,,
,Bullet trains: a study of NIC burst behavior at microsecond timescales,10.1145/2535372.2535407,,Measurement,Partial,Send,,,,,,
,FasTrak: enabling express lanes in multi-tenant data centers,10.1145/2535372.2535386,,Design,Partial,Send,,,,,,
,"Scalable,  optimal flow routing in datacenters via local link balancing",10.1145/2535372.2535397,,Design,Partial,Send,,,,,,
,SoftCell: scalable and flexible cellular core network architecture,10.1145/2535372.2535377,,Design,Partial,Send,,,,,,
,Robust assessment of changes in cellular networks,10.1145/2535372.2535382,,Measurement,Partial,Resopnse,Irreproductible,Private,Private,,,
,3GOL: power-boosting ADSL using 3G onloading,10.1145/2535372.2535400,,Design,Partial,Send,,,,,,
,Capturing mobile experience in the wild: a tale of two apps,10.1145/2535372.2535391,,Measurement,???,,,,,,,http://networktest.org/
,Silent TCP connection closure for cellular networks,10.1145/2535372.2535402,,Design,Partial,Send,,,,,,
,Direct code execution: revisiting library OS architecture for reproducible network experiments,10.1145/2535372.2535374,,Measurement,Complet,,Complet,Public,Public,,,https://www.nsnam.org/docs/dce/manual/html/index.html
,Pythia: yet another active probing technique for alias resolution,10.1145/2535372.2535413,,Design,No script,Send,,Public,,,,
,An automated system for emulated network experimentation,10.1145/2535372.2535378,,Design,Self contains,,,,,,,
,Inferring multilateral peering,10.1145/2535372.2535390,,Design,Partial,Send,,,,,,
,Minimizing network complexity through integrated top-down design,10.1145/2535372.2535376,,Design,Partial,Response,Irreproductible,Private,Private,,,
,Understanding tradeoffs in incremental deployment of new network architectures,10.1145/2535372.2535396,,Management ,Partial,Send,,,,,,
,Low latency via redundancy,10.1145/2535372.2535392,,Measurement,Partial,Response,,No need,Private,,Can give me a tar with code,
,Socket intents: leveraging application awareness for multi-access connectivity,10.1145/2535372.2535405,,Design,Partial,Send,,,,,,
,Towards a SPDY'ier mobile web?,10.1145/2535372.2535399,,Measurement,Partial,Response,,No need,Private,,Give some details in order to recreate the script,
,Staying online while mobile: the hidden costs,10.1145/2535372.2535408,,Measurement,Partial,Response,,Public,,,,http://rilanalyzer.smart-e.org/
,Is there a case for mobile phone content pre-staging?,10.1145/2535372.2535414,,Measurement,Partial,Response,,No need,Too related with data,,,
,RFID shakables: pairing radio-frequency identification tags with the help of gesture recognition,10.1145/2535372.2535404,,Design,Partial,Response,Irreproductible,Private,Private,,,
,Resource thrifty secure mobile video transfers on open WiFi networks,10.1145/2535372.2535389,,Design,Partial,Send,,,,,,
,Enhancing video accessibility and availability using information-bound references,10.1145/2535372.2535393,,Design,Self contains,,,,,,,
,Shedding light on the structure of internet video quality problems in the wild,10.1145/2535372.2535394,,Measurement,Partial,Send,,,,,,
,Geography matters: building an efficient transport network for a better video conferencing experience,10.1145/2535372.2535395,,Design,Partial,Send,,,,,,
,DOMINO: relative scheduling in enterprise wireless LANs,10.1145/2535372.2535401,,Design/Implementation,Partial,Send,,,,,,
,On the benefits of applying experimental design to improve multipath TCP,10.1145/2535372.2535403,,Measurement,Complet,,Complet,No need,Public,,,http://multipath-tcp.org/conext2013
,DomainFlow: practical flow management method using multiple flow tables in commodity switches,10.1145/2535372.2535406,,Design,Partial,Response,Irreproductible,Private,Private,,,
,RiskRoute: a framework for mitigating network outage threats,10.1145/2535372.2535385,,Design,Partial,Wait,,,,,,http://pages.cs.wisc.edu/~pb/software_data.html
,CoDef: collaborative defense against large-scale link-flooding attacks,10.1145/2535372.2535398,,Design,Partial,Send,,,,,,
,Federated flow-based approach for privacy preserving connectivity tracking,10.1145/2535372.2535388,,Measurement,Partial,Send,,No need,,,,
